Test,Run,Goal,Name,File,Number of Procs,realTimeON,expElementType,holdPierON,h_water,gmDir,gmVelFile,gmStartTime,DT_FACTOR,gmScaleFactor,soilProfile,soilEleType,soilConstitutive,soilMesh,DOFs,eqIntegrator,prePartitionSystem,postPartitionSystem,constraintsHandler,rayleighT1,rayleighT2,rayleighXi1,rayleighXi2,rayleighOffFac,rayleighStiff,rayleighSoilON,rayleighBoundON,rayleighSprPileON,rayleighSprCapFaceON,rayleighSprSoffitON,rayleighPilesON,rayleighCapON,rayleighDeckON,rayleighPierON,rayleighPierHingeON,DateTime,DumpFolder,MatFile,LabTrial,Note
F15,-91,MP CPU integrator CUDA solver Large SSI mesh,EQ then wave,RunParallel.tcl,20,1,generic,1,2.4,Tohoku2011-FKSH,FKSH19.NS1.VT2,0,10,1,4 (SOFT),SSPQuad,Inelastic,2 (LARGE),4620,MKRAlphaExplicitMultiSOE 0.5 -incrementalAccel,UmfPack,DistributedCuDSS,Transformation,2.3,0.07746,0.03,0.2,1.00E-08,committed,0,0,0,0,0,0,0,0,1,1,2026-08-21 13:58,r-91_20260821_1358_Storm_Wave,0821_GusBridge_rowNeg91_20Core.mat,15,np=20; heavy slowdown events; duration ratio OK
F17,-11,Hybrid execute mode,EQ then wave,RunParallel.tcl,8,1,generic,1,2.4,Tohoku2011-FKSH,FKSH19.NS1.VT2,0,10,1,4 (SOFT),SSPQuad,Inelastic,1 (MODERATE),3216,CudaMKRAlpha 0.5 -incrementalAccel,UmfPack,DistributedCuDSS -hybridExecuteMode 1,Transformation,2.3,0.07746,0.03,0.2,1.00E-08,committed,0,0,0,0,0,0,0,0,1,1,2026-08-21 14:51,r-11_20260821_1451_Storm_Wave,0821_GusBridge_rowNeg11_8Core.mat,17,Trial17; np=8; 2 slowdowns
F18,-12,Single precision CuDSS,EQ then wave,RunParallel.tcl,20,1,generic,1,2.4,Tohoku2011-FKSH,FKSH19.NS1.VT2,0,10,1,4 (SOFT),SSPQuad,Inelastic,3 (XLARGE),5484,CudaMKRAlpha 0.5 -incrementalAccel,UmfPack,DistributedCuDSS -precision dFFI,Transformation,2.3,0.07746,0.03,0.2,1.00E-08,committed,0,0,0,0,0,0,0,0,1,1,2026-08-21 15:03,r-12_20260821_1503_Storm_Wave,,18,Trial18 rowNeg12; NAN (~9.6 s OS); mat not archived
F19,-120,Single precision CuDSS,EQ then wave,RunParallel.tcl,20,1,generic,1,2.4,Tohoku2011-FKSH,FKSH19.NS1.VT2,0,10,1,4 (SOFT),SSPQuad,Inelastic,3 (XLARGE),5484,CudaMKRAlpha 0.5,UmfPack,DistributedCuDSS -precision dFFI,Transformation,2.3,0.07746,0.03,0.2,1.00E-08,committed,0,0,0,0,0,0,0,0,1,1,2026-08-21 15:12,r-120_20260821_1512_Storm_Wave,0821_GusBridge_rowNeg120_20Core.mat,19,Trial19 retry after 1503 NAN (~17 s OS)
Fx01,-4,MP CUDA integrator+solver,EQ then wave,RunParallel.tcl,20,1,generic,1,2.4,Tohoku2011-FKSH,FKSH19.NS1.VT2,0,10,1,4 (SOFT),SSPQuad,Inelastic,0 (BASELINE),2028,CudaMKRAlpha 0.5 -incrementalAccel,UmfPack,DistributedCuDSS,Transformation,2.3,0.07746,0.03,0.2,1.00E-08,committed,0,0,0,0,0,0,0,0,1,1,2026-08-21 15:15,r-04_20260821_1515_Storm_Wave,,,abort / dry start (~2.6 s OS); no Simulink save
Fx02,-121,Single precision CuDSS,EQ then wave,RunParallel.tcl,20,1,generic,1,2.4,Tohoku2011-FKSH,FKSH19.NS1.VT2,0,10,1,4 (SOFT),SSPQuad,Inelastic,3 (XLARGE),5484,CudaMKRAlpha 0.0,UmfPack,DistributedCuDSS -precision dFFI,Transformation,2.3,0.07746,0.03,0.2,1.00E-08,committed,0,0,0,0,0,0,0,0,1,1,2026-08-21 15:16,r-121_20260821_1516_Storm_Wave,0821_GusBridge_rowNeg121_20Core.mat,,retry after 1503 NAN (~16 s OS)
Fx03,-4,MP CUDA integrator+solver,EQ then wave,RunParallel.tcl,8,1,generic,1,2.4,Tohoku2011-FKSH,FKSH19.NS1.VT2,0,10,1,4 (SOFT),SSPQuad,Inelastic,0 (BASELINE),2028,CudaMKRAlpha 0.5 -incrementalAccel,UmfPack,DistributedCuDSS,Transformation,2.3,0.07746,0.03,0.2,1.00E-08,committed,0,0,0,0,0,0,0,0,1,1,2026-08-21 15:20,r-04_20260821_1520_Storm_Wave,,,second abort (~2.6 s OS) before afternoon block
F20,-15,More complex element,EQ then wave,RunParallel.tcl,8,1,generic,1,2.4,Tohoku2011-FKSH,FKSH19.NS1.VT2,0,10,1,4 (SOFT),Quad,Inelastic,0 (BASELINE),2028,CudaMKRAlpha 0.5 -incrementalAccel,UmfPack,DistributedCuDSS,Transformation,2.3,0.07746,0.03,0.2,1.00E-08,committed,0,0,0,0,0,0,0,0,1,1,2026-08-21 15:21,r-15_20260821_1521_Storm_Wave,0821_GusBridge_rowNeg15_8Core.mat,20,"Trial20; np=8; 3 holds, 9 slowdowns"
F22,-6,Serial CUDA integrator+solver,EQ then wave,Run.tcl,1,1,generic,1,2.4,Tohoku2011-FKSH,FKSH19.NS1.VT2,0,10,1,4 (SOFT),SSPQuad,Inelastic,0 (BASELINE),2028,CudaMKRAlpha 0.5 -incrementalAccel,UmfPack,CuDSS,Transformation,2.3,0.07746,0.03,0.2,1.00E-08,committed,0,0,0,0,0,0,0,0,1,1,2026-08-21 15:28,r-06_20260821_1528_Storm_Wave,0821_GusBridge_rowNeg6_Serial.mat,22,Trial22; np=1 serial; heavy holds/slowdowns; incomplete (~128 s OS)
F23,-13,Stiffer soil,EQ then wave,RunParallel.tcl,8,1,generic,1,2.4,Tohoku2011-FKSH,FKSH19.NS1.VT2,0,10,1,3 (STIFF),SSPQuad,Inelastic,0 (BASELINE),2028,CudaMKRAlpha 0.5 -incrementalAccel,UmfPack,DistributedCuDSS,Transformation,2.3,0.07746,0.03,0.2,1.00E-08,committed,0,0,0,0,0,0,0,0,1,1,2026-08-21 15:35,r-13_20260821_1535_Storm_Wave,0821_GusBridge_rowNeg13_8Core.mat,23,Trial23; np=8; no slowdowns
